Fund_name,Year,ms,lag_mr,performance,lag_perf,FUM,over_50,female,Average.fees,Fund_type,Cost.ratio
A Noble & Son Limited Superannuation Fund,2004,0.00156864072412382,NA,1.63081861958266,NA,7669,NA,NA,NA,Corporate,0.856088560885609
AAMI Staff Superannuation Fund,2004,0.0193498410224836,NA,5.03081861958266,NA,68892,NA,NA,NA,Corporate,1.36666188616213
Aar Staff Superannuation Fund,2004,0.00624315081691334,NA,-0.0691813804173353,NA,19519,NA,NA,NA,Corporate,1.37455017403103
AC Nielsen (Holdings) Pty Ltd Superannuation Fund,2004,0.00339446784982489,NA,0.530818619582664,NA,21777,NA,NA,NA,Corporate,1.11074312791379
Accountants Superannuation Fund,2004,0.0972576881506509,NA,-1.86918138041734,NA,216441,12.7667419458911,58.1232428446329,NA,Retail,1.70957319833724
Ace Australia Superannuation Plan,2004,0.003239370706889,NA,1.43081861958266,NA,17750,NA,NA,NA,Corporate,0.791790713878508
Acirl Staff Superannuation Fund,2004,0.000512409548180623,NA,0.730818619582664,NA,5188,NA,NA,NA,Corporate,2.35217249264946
ACP Retirement Fund,2004,0.0110531255029,NA,2.53081861958266,NA,56139,NA,NA,NA,Corporate,0.561164970433244
Advance Retirement Plan,2004,0.0261328869572118,NA,0.230818619582664,NA,618666,46.9069098840091,43.0256766134629,NA,Retail,1.84923380291105
Advance Super Plus,2004,0.00849696752691853,NA,-7.06918138041734,NA,51567,13.4351857251152,50.7026648784186,NA,Retail,3.46548715659619
Aecom Australia Superannuation Fund,2004,0.00654352882791577,NA,3.03081861958266,NA,41734,NA,NA,NA,Corporate,1.29554655870445
Aerospace Employees Superannuation Fund,2004,0.00480997468598669,NA,2.03081861958266,NA,16833,NA,NA,NA,Corporate,0.7634368290106
Agco Australia Superannuation Plan,2004,4.51548643990587e-05,NA,1.93081861958266,NA,11078,NA,NA,NA,Corporate,0.233623025885431
Alcan Gove Superannuation Plan,2004,0.013295162683062,NA,2.83081861958266,NA,100968,NA,NA,NA,Corporate,0.470415369095136
Alcoa Australia Rolled Products Superannuation Fund,2004,0.0198524342957949,NA,1.83081861958266,NA,83863,NA,NA,NA,Corporate,0.405374872074323
Alcoa of Australia Retirement Plan,2004,0.207822318514207,NA,1.03081861958266,NA,762937,NA,NA,NA,Corporate,0.235839166653412
Alford Hydraulics Pty Ltd Superannuation Fund,2004,0.000170803182726874,NA,-0.569181380417335,NA,841,NA,NA,NA,Corporate,2.25352112676056
Allianz Australia Staff Superannuation Fund,2004,0.000424063074356378,NA,-0.469181380417336,NA,41358,NA,NA,NA,Corporate,0.691267662905357
Allianz Australia Superannuation Fund,2004,0.0243090230864846,NA,0.130818619582664,NA,91378,NA,NA,NA,Corporate,0.7140048173819
Amcor Superannuation Fund,2004,0.114546111450569,NA,2.93081861958266,NA,673691,NA,NA,NA,Corporate,0.765676127990142
Amec Executive Superannuation Fund,2004,0.0005281155879716,NA,0.730818619582664,NA,12030,NA,NA,NA,Corporate,1.39323951563888
AMG Universal Super,2004,0.00914484166829633,NA,-1.76918138041734,NA,29175,NA,NA,NA,Retail,1.3311018565368
Amgen Australia Superannuation Fund,2004,0.00430738141267543,NA,0.530818619582664,NA,10093,NA,NA,NA,Corporate,1.41802754692858
AMP Personal Employer Sponsored Superannuation Fund,2004,0.000834383363895651,NA,10.1308186195827,NA,16548,NA,NA,NA,Retail,0.117147459364475
AMP Personal Superannuation Fund,2004,0.290206386982803,NA,-7.16918138041734,NA,3836125,NA,NA,NA,Retail,0.194319938932493
AMP Self Employed Persons Superannuation Fund,2004,0.085097286842487,NA,-5.86918138041734,NA,1231699,NA,NA,NA,Retail,0.143759136122889
AMP Superannuation Savings Trust,2004,5.18059207018935,NA,-1.76918138041734,NA,24404270,NA,NA,NA,Retail,0.569660106078074
Anglican Provident Fund,2004,0.00118187949427102,NA,2.43081861958266,NA,25703,NA,NA,NA,Industry,0.79246730007243
Anglican Superannuation Australia,2004,0.0183073526313575,NA,4.53081861958266,NA,146283,NA,NA,NA,Corporate,1.56111674094277
ANZ Australian Staff Superannuation Scheme,2004,0.157290098741713,NA,2.93081861958266,NA,1428152,18.4180888850386,59.3823096248809,NA,Corporate,0.595034846718609
ANZ Personal Superannuation Fund,2004,0.890298828806503,NA,-5.36918138041734,NA,1318034,59.2442586927485,38.2567107587574,NA,Retail,0.159341353125333
ANZ Super Advantage,2004,0.446033860768981,NA,-0.969181380417336,NA,1784375,13.9099852536987,39.2570079546949,NA,Retail,1.22482803981112
ANZ Superannuation Savings Account,2004,0.103915085767051,NA,-9.76918138041734,NA,392483,16.0051047350819,39.219327583172,NA,Retail,0.940329743388818
Aon Group Superannuation Fund,2004,0.0110413459730568,NA,4.93081861958266,NA,101123,NA,NA,NA,Corporate,0.668616319743105
AON Master Trust,2004,0.592039169920876,NA,-1.16918138041734,NA,813252,13.7982582113493,39.4253945058913,NA,Retail,1.71502929437386
Apn Superannuation Scheme,2004,0.00377730256972996,NA,1.93081861958266,NA,51078,NA,NA,NA,Corporate,1.0595879380241
Apt Group Superannuation Fund,2004,0.00141158032621405,NA,0.630818619582664,NA,5500,NA,NA,NA,Corporate,1.4003294892916
Arnold Bloch Leibler Superannuation Fund,2004,0.0014645882105086,NA,0.130818619582664,NA,4077,NA,NA,NA,Retail,2.85069150437482
ARRB TR Staff Superannuation Fund,2004,0.00170017880737326,NA,1.73081861958266,NA,18695,NA,NA,NA,Corporate,0.833649109511178
ASC Superannuation Fund,2004,0.00975541396517056,NA,3.13081861958266,NA,45567,NA,NA,NA,Corporate,0.766302904616785
ASGARD Independence Plan Division Two,2004,2.66218356084546,NA,0.130818619582664,NA,7867619,26.5596828625584,39.7531320789608,NA,Retail,1.93392995450827
Astarra Personal Pension Plan,2004,0.0148480973673948,NA,-1.56918138041734,NA,43653,NA,NA,NA,Retail,0.03828438116887
Astarra Superannuation Plan,2004,0.00315887725296024,NA,-1.36918138041734,NA,135070,28.5991360310324,38.6493872873138,NA,Retail,0.377527196860563
Atco Controls Staff Superannuation Fund,2004,0.000793155009444336,NA,3.23081861958266,NA,4842,NA,NA,NA,Corporate,0.0664525418097242
Atkinson Produce Pty Ltd Superannuation Fund,2004,0.000400504014669912,NA,6.23081861958267,NA,1148,NA,NA,NA,Corporate,2.9242819843342
AusBev Superannuation Fund,2004,0.00119562227908812,NA,-0.0691813804173353,NA,297469,NA,NA,NA,Corporate,0.945521738895523
Auscoal Superannuation Fund,2004,0.223681492193146,NA,0.730818619582664,NA,2011499,45.9278501390312,22.5376847651105,NA,Industry,0.52978998476699
Austchoice Super,2004,0.182231289929784,NA,-0.0691813804173353,NA,744804,45.005207081631,41.40831530882,NA,Retail,0.616526492943007
Australasian Conference Association Superannuation Trust - Australia,2004,0.0546118636082007,NA,-1.36918138041734,NA,199437,23.6393821279053,61.7511188104519,NA,Corporate,0.378661134533449
Australia's Unclaimed Super Fund,2004,0.20658154137072,NA,-3.06918138041734,NA,522666,12.6935357829526,46.6519248483539,NA,Retail - ERF,2.99799432321839
Australia First Super Trust,2004,0.00767436369286611,NA,2.73081861958266,NA,26081,NA,NA,NA,Retail,1.54685089834669
Australian Catholic Superannuation and Retirement Fund,2004,0.347961421804173,NA,1.03081861958266,NA,1592470,27.5862638542475,74.2554632397879,NA,Industry,0.669213417172341
Australian Child Care Super Fund,2004,0.0122860496264917,NA,-0.469181380417336,NA,33797,NA,NA,NA,Industry,3.66299098100992
